Process,Genes 
Cell cycle regulation,ATAD2
Cell cycle regulation,BORA
Cell cycle regulation,BTG3
Cell cycle regulation,CASP8AP2
Cell cycle regulation,CCDC134
Cell cycle regulation,CCNA2
Cell cycle regulation,CCNB1
Cell cycle regulation,CCNB2
Cell cycle regulation,CCNE1
Cell cycle regulation,CCNE2
Cell cycle regulation,CDC25A
Cell cycle regulation,CDC25B
Cell cycle regulation,CDC25C
Cell cycle regulation,CDC5L
Cell cycle regulation,CDC7
Cell cycle regulation,CDCA3
Cell cycle regulation,CDCA4
Cell cycle regulation,CDCA7
Cell cycle regulation,CDK1
Cell cycle regulation,CDK19
Cell cycle regulation,CDK4
Cell cycle regulation,CDKN2C
Cell cycle regulation,CDKN2D
Cell cycle regulation,CDKN3
Cell cycle regulation,CKS1B
Cell cycle regulation,CKS2
Cell cycle regulation,CRLF3
Cell cycle regulation,DBF4B
Cell cycle regulation,DLGAP5
Cell cycle regulation,E2F1
Cell cycle regulation,E2F7
Cell cycle regulation,E2F8
Cell cycle regulation,FAM83D
Cell cycle regulation,FBXO5
Cell cycle regulation,FOXM1
Cell cycle regulation,FZR1
Cell cycle regulation,GMNN
Cell cycle regulation,LIN54
Cell cycle regulation,LIN9
Cell cycle regulation,MASTL
Cell cycle regulation,MELK
Cell cycle regulation,MYBL2
Cell cycle regulation,NPAT
Cell cycle regulation,ODF2
Cell cycle regulation,PA2G4
Cell cycle regulation,PBK
Cell cycle regulation,PIMREG
Cell cycle regulation,PKMYT1
Cell cycle regulation,PRR11
Cell cycle regulation,RBL1
Cell cycle regulation,STIL
Cell cycle regulation,TCF19
Cell cycle regulation,TFDP1
Cell cycle regulation,TICRR
Cell cycle regulation,TOE1
Cell cycle regulation,TRIM28
Cell cycle regulation,TTF2
Cell cycle regulation,UBE2C
Cell cycle regulation,UBE2S
Cell cycle regulation,UHRF2
Cell cycle regulation,USP37
Cell cycle regulation,WEE1
Cell cycle regulation,CDK2
Cell cycle regulation,AURKA
Cell cycle regulation,KIF14
Cell cycle regulation,DTL
Cell cycle regulation,GTSE1
Cell cycle regulation,PLK1
Chromatin organization,ANP32B
Chromatin organization,ANP32E
Chromatin organization,ASF1B
Chromatin organization,CHAF1A
Chromatin organization,CHAF1B
Chromatin organization,HJURP
Chromatin organization,SLBP
Chromatin organization,DNMT1
Chromatin organization,UHRF1
Chromatin organization,HIST1H1A
Chromatin organization,HIST1H1B
Chromatin organization,HIST1H1C
Chromatin organization,HIST1H1D
Chromatin organization,HIST1H1E
Chromatin organization,HIST1H2AB
Chromatin organization,HIST1H2AC
Chromatin organization,HIST1H2AE
Chromatin organization,HIST1H2AG
Chromatin organization,HIST1H2AH
Chromatin organization,HIST1H2AI
Chromatin organization,HIST1H2AJ
Chromatin organization,HIST1H2AK
Chromatin organization,HIST1H2AL
Chromatin organization,HIST1H2AM
Chromatin organization,HIST1H2APS4
Chromatin organization,HIST1H2BB
Chromatin organization,HIST1H2BC
Chromatin organization,HIST1H2BE
Chromatin organization,HIST1H2BF
Chromatin organization,HIST1H2BG
Chromatin organization,HIST1H2BH
Chromatin organization,HIST1H2BI
Chromatin organization,HIST1H2BJ
Chromatin organization,HIST1H2BK
Chromatin organization,HIST1H2BL
Chromatin organization,HIST1H2BM
Chromatin organization,HIST1H2BN
Chromatin organization,HIST1H2BO
Chromatin organization,HIST1H3A
Chromatin organization,HIST1H3B
Chromatin organization,HIST1H3C
Chromatin organization,HIST1H3D
Chromatin organization,HIST1H3F
Chromatin organization,HIST1H3G
Chromatin organization,HIST1H3H
Chromatin organization,HIST1H3I
Chromatin organization,HIST1H3J
Chromatin organization,HIST1H4A
Chromatin organization,HIST1H4B
Chromatin organization,HIST1H4C
Chromatin organization,HIST1H4D
Chromatin organization,HIST1H4E
Chromatin organization,HIST1H4F
Chromatin organization,HIST1H4I
Chromatin organization,HIST1H4J
Chromatin organization,HIST1H4K
Chromatin organization,HIST1H4L
Chromatin organization,HIST2H2AA4
Chromatin organization,HIST2H2AB
Chromatin organization,HIST2H2AC
Chromatin organization,HIST2H2BA
Chromatin organization,HIST2H2BF
Chromatin organization,HIST2H3A
Chromatin organization,HIST2H4B 
Centrosome regulation,ALMS1
Centrosome regulation,CCNF
Centrosome regulation,CCP110
Centrosome regulation,CCT3
Centrosome regulation,CDK5RAP2
