,In113,In115,Xe134,Pr141,Nd142,Nd143,Nd144,Nd145,Nd146,Sm147,Nd148,Sm149,Nd150,Eu151,Sm152,Eu153,Sm154,Gd155,Gd156,Gd158,Tb159,Gd160,Dy161,Dy162,Dy163,Dy164,Ho165,Er166,Er167,Er168,Tm169,Er170,Yb171,Yb172,Yb173,Yb174,Lu175,Yb176,Ir191,Ir193
Dy161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002560548,1,0.033279257,0.010433414,0.006641196,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dy162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000663459,0.015694306,1,0.051457197,0.009591405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dy163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000307305,0.003784342,0.012888883,1,0.022636936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dy164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00050081,0.005004443,0.008393607,0.028860646,1,0.005862431,0,0,0,0,0,0,0,0,0,0,0,0,0
Er166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000518914,0.000804924,1,0.020928057,0.004580435,0,0.001001588,0,0,0,0,0,0,0,0
Er167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009461315,1,0.031530849,0,0,0,0,0,0,0,0,0,0
Er168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003119113,0.006825899,1,0.006766641,0.003505122,0,0,0,0,0,0,0,0
Er170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000280573,0,0.006800693,0.005641958,0.01033744,0.001369942,1,0.009371438,0,0,0,0,0,0,0
Eu151,0,0,0,0,0,0,0,0,0,0,0,0,0.000848579,1,0.005150915,0.009546936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eu153,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007301906,0.001177756,1,0.00428968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gd155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00479996,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00046642,0,0,0,0,0,0,0
Gd156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000627079,0.009488435,1,0.009667449,0,0.002960231,0,0,0,0,0,0,0,0,0,0,0,0.000843268,0,0,0,0,0,0
Gd158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008579,0.00252118,1,0.004550079,0.008115561,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000772283,0,0,0,0
Gd160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000824348,0.001438713,0.006508181,0.000899272,1,0.004368543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000593801,0,0
Ho165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000722859,1,0.004324031,0,0,0,0,0,0,0,0,0,0,0,0
In113,1,0.075285327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lu175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000858266,1,0.021169084,0,0
Nd142,0,0,0,0,1,0.007015837,0.003627271,0,0,0,0,0,0,0,0,0,0,0,0,0.001828014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nd143,0,0,0,0,0.009596587,1,0.027393647,0.002948485,0.00266372,0,0,0,0,0,0,0,0,0,0,0,0.002108264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nd144,0,0,0,0,0,0.002941279,1,0.007556683,0.003098239,0,0,0,0,0,0,0,0,0,0,0,0,0.001791861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nd145,0,0,0,0,0.002935451,0.002490871,0.014199895,1,0.04262496,0,0.001760681,0,0,0,0,0,0,0,0,0,0,0,0.002385579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nd146,0,0,0,0,0.00197787,0.00120026,0.003661394,0.003299917,1,0.003246955,0.002987013,0,0,0,0,0,0,0,0,0,0,0,0,0.002500796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nd148,0,0,0,0,0.005076567,0.002348043,0.00565276,0.002184093,0.007691634,0,1,0.003993516,0.005376336,0,0,0,0,0,0,0,0,0,0,0,0,0.002809253,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nd150,0,0,0,0,0.004891923,0.003040364,0.006960317,0.002046966,0.004014555,0,0.002490263,0,1,0.003845002,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002648453,0,0,0,0,0,0,0,0,0,0,0,0
Pr141,0,0,0,1,0.002184718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sm147,0,0,0,0,0,0,0,0,0,1,0.028190504,0.006195058,0.001102049,0,0.003965436,0,0.002576091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sm149,0,0,0,0,0,0,0,0,0,0.002370983,0.00928102,1,0.020875574,0,0.005836264,0,0.00269348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sm152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003696043,0.008235102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sm154,0,0,0,0,0,0,0,0,0,0.000764616,0.00083713,0.001302431,0,0,0.007565613,0,1,0.004284258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tb159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000705091,1,0.005444928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000389515,0,0,0
Tm169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000924183,1,0.00869082,0,0,0,0,0,0,0,0
